VOGAL,F1,F2,AMOSTRA
e,415.6527246508,1874.3828900415,PBSP
u,455.5633512177,962.8835256062,PBSP
u,432.5357189669,1023.043269893,PBSP
u,466.7317637586,1065.4091009077,PBSP
u,421.0491399477,1225.5549858421,PBSP
u,446.3422205695,1204.0961123796,PBSP
o,605.3998287175,1217.6147974795,PBSP
o,551.7521515755,1123.2231478111,PBSP
o,616.283688498,1220.2057259768,PBSP
o,522.626559088,1080.2004435988,PBSP
o,487.6756260912,1196.5659869037,PBSP
o,507.4019173187,1244.0227589785,PBSP
o,668.060767897,1229.0380291074,PBSP
o,697.070589062,1208.7389311268,PBSP
o,389.0841041032,947.2819292136,PBSP
o,481.1620928912,909.1003699407,PBSP
o,414.3122882316,1180.6805784153,PBSP
o,625.1182021086,1126.2462310532,PBSP
o,549.4205478738,1204.356908373,PBSP
o,554.871245698,993.6145108541,PBSP
o,543.5822173806,1010.2836875773,PBSP
o,539.866985415,1137.215456299,PBSP
o,701.0122969123,957.616706946,PBSP
o,655.0203369943,1173.666719484,PBSP
o,585.8961926777,1110.945856521,PBSP
o,588.2312623663,1292.2469353165,PBSP
o,575.997706972,1022.2541815718,PBSP
o,661.9365658458,1210.4785694331,PBSP
o,573.030187491,1267.3383296294,PBSP
o,589.1096534418,1040.6508754712,PBSP
o,572.8647670243,1082.827197955,PBSP
o,677.1595450419,1200.1145386422,PBSP
o,687.9418935789,1172.5944567193999,PBSP
o,550.5491143424,1194.1097498921,PBSP
o,529.6000673855,1196.5825679173,PBSP
o,657.7642870946,1275.3308756153,PBSP
o,432.5638523947,1075.1964682433,PBSP
o,451.9997748405,1198.3302794384,PBSP
o,847.0863023376,1029.0938149073,PBSP
o,424.768819138,1123.6041986547,PBSP
o,526.2282318105,1101.4870568249,PBSP
o,713.829934613,1211.8164409077,PBSP
o,450.6690311673,983.4729151668,PBSP
o,714.2089456635,1229.9849624531,PBSP
o,594.8728515682,1036.4926206075,PBSP
o,480.1405685112,1061.1584329598,PBSP
o,664.546162546,979.2932002363,PBSP
o,585.9585119938,1006.1913312981,PBSP
a,517.5562693618,1147.3483842124,PBSP
a,563.5445952478,1140.7328683233,PBSP
i,379.5051844833,1854.603330143,PBSP
a,586.6766542401,1163.6873661458,PBSP
e,482.3404948042,1616.0114764096,PBSP
e,418.3703181771,1576.2093195103,PBSP
o,462.1403845496,1054.4352511037,PBSP
a,642.593869337,1389.5707840093,PBSP
a,612.1124257273,1375.9655837217001,PBSP
a,548.6220723631,1437.3277493907,PBSP
a,634.3448760037,1312.0930881793,PBSP
a,631.8643445639,1333.6703095416,PBSP
a,661.0937308685,1192.4243746099,PBSP
i,381.3098119666,1819.9366151651,PBSP
e,398.9383144965,1904.0027679068,PBSP
u,504.0475603494,927.676889372,PBSP
a,687.8565112762,1192.0928398715,PBSP
i,375.0386016413,2250.0287000891,PBSP
a,611.5620833206,1295.1115116122,PBSP
o,578.4661076518,1186.0582983841,PBSP
a,589.4339426003,1217.1132026576,PBSP
a,616.7075347026,1324.4960329534,PBSP
i,384.5436556209,1875.396703289,PBSP
a,525.0433312586,1290.7750048505,PBSP
e,540.3425742459,1599.1597827974,PBSP
a,663.1577795239,1207.1456172112,PBSP
e,443.1550259742,1622.2397912605,PBSP
o,580.0215744493,1019.2264977721,PBSP
a,535.6535526792,1143.7101839391,PBSP
i,387.9618179215,1888.4501737385,PBSP
e,473.6200399342,1523.2835305805,PBSP
u,339.1650080493,1028.5498195112,PBSP
e,576.3839111383,1453.2202369526,PBSP
e,482.2263015061,1939.5253363549,PBSP
i,355.9149575567,1570.920797094,PBSP
i,411.130601749,1843.5008866312,PBSP
i,371.3462498743,1701.4842804918,PBSP
e,616.9967678556,1399.747017541,PBSP
a,624.2696213722,1151.823791758,PBSP
i,333.3343819117,2008.4741454491,PBSP
o,624.4284604524,1031.857188439,PBSP
o,508.9198148763,1172.5551537502,PBSP
a,635.8931236295,1289.3881391886,PBSP
a,727.2638946441,1292.8823500461,PBSP
i,331.0411418412,1918.1721583493,PBSP
e,499.3632520817,1533.4888529209,PBSP
a,695.2576809188,1228.508988714,PBSP
a,524.9391474009,1337.800168142,PBSP
o,637.7462336176,1199.2370622952,PBSP
a,715.2996526691,1327.9858760933,PBSP
u,465.0248906446,957.6593550133,PBSP
a,609.4940238555,1195.7278160931,PBSP
e,372.6343517615,1849.846478763,PBSP
i,375.4149911115,1946.091070658,PBSP
i,361.1113919826,1466.6678071761,PBSP
e,566.4707666699,1513.662361829,PBSP
a,683.8824689657,1465.5908603718,PBSP
o,473.6612577015,976.6739903219,PBSP
e,441.6500974865,1233.1372883069,PBSP
a,635.5179497117,1325.7012918157,PBSP
o,496.8003231946,890.6022253124,PBSP
i,312.2312126351,1864.4038175515,PBSP
a,639.4612731761,1453.8865102655,PBSP
a,672.6509334288,1446.7704955967,PBSP
e,519.308699534,1522.8657569768,PBSP
a,603.6153378663,1263.2479800079,PBSP
o,547.287962765,892.6820850312,PBSP
i,404.0100104273,2079.5242720001,PBSP
u,413.0406352678,973.6000343449,PBSP
o,529.5316118822,911.489469645,PBSP
o,622.2687339207,1107.9482500813,PBSP
u,398.1552943881,936.2958561381,PBSP
u,474.7204038234,997.9508987958,PBSP
a,658.2880343419,1213.8701860601,PBSP
i,376.3402388882,1712.2812670881,PBSP
e,479.0416593827,1645.8341059171,PBSP
o,676.7880858494,1188.3164286554,PBSP
i,361.6032475922,2121.9349609451,PBSP
o,430.9229226952,910.8705520087,PBSP
o,575.6916132464,1039.3964415478,PBSP
i,444.8515148621,1925.7323020852,PBSP
i,419.4097314969,1746.5256084548,PBSP
u,415.8323842925,1015.761411596,PBSP
u,486.6236616598,832.8310919805,PBSP
i,420.9539468925,1921.0754782616,PBSP
i,396.9253211519,2033.8749251181,PBSP
i,315.5666200994,2038.3210516317,PBSP
e,497.9531084703,1339.4610151458,PBSP
e,489.3668198724,1867.006693786,PBSP
i,327.5689424268,1555.7813753916,PBSP
a,549.7778912001,1228.4367818133,PBSP
e,631.3483286689,1761.2463255149,PBSP
e,554.8062828252,1869.8129117746,PBSP
e,455.5662333132,1925.7060326789,PBSP
o,650.1817143617,1132.0520187497,PBSP
i,290.6109742826,1710.366358867,PBSP
i,385.4902628789,2006.4869872177,PBSP
i,322.9511112903,1777.8923509165,PBSP
u,356.9926360155,986.0525274279,PBSP
e,451.9462681225,1895.774909278,PBSP
i,276.5360357061,1799.9382415213,PBSP
e,565.5932116227,1858.0937929972,PBSP
u,422.7348891035,756.3119446476,PBSP
e,627.8010275103,1428.5388903478,PBSP
e,422.2838656282,1226.6448944966,PBSP
u,435.5385956112,996.2713598954,PBSP
i,418.723976074,2021.3126156223,PBSP
i,406.0159047931,2013.4391920959,PBSP
i,348.0163642686,2027.1247559541,PBSP
e,466.2580892643,1643.7257332158,PBSP
e,400.8350965268,1869.3295927024,PBSP
e,447.2877620162,1507.5001861221,PBSP
o,518.5331972419,953.3932350974,PBSP
e,575.5190811041,1552.7110099491,PBSP
e,524.9477667769,1465.0358445525,PBSP
e,424.7266320007,1469.4178924834,PBSP
e,494.3128155915,1457.5883038289,PBSP
e,466.9964928794,1591.3971852181,PBSP
e,594.3665808858,1447.4285872517,PBSP
e,517.202642211,1556.0263294836,PBSP
e,522.8724184129,1555.3908097273,PBSP
o,513.19061713200006,995.5117155584,PBSP
e,512.5399793543,1690.970385097,PBSP
e,407.8048769501,1771.431144654,PBSP
o,493.1555197172,1028.2787194813,PBSP
o,504.5278192632,1008.2248257354,PBSP
o,438.3374557021,1006.5434623031,PBSP
o,443.2089463212,1152.533781261,PBSP
o,529.0031487562,1130.0642941911,PBSP
e,430.7848456074,2141.3846076267,PBSP
o,407.8227141782,972.7352272754,PBSP
o,476.7155818682,1338.1615693905,PBSP
e,486.8223011853,2091.8556220033,PBSP
u,386.1191772045,848.6951848775,PBSP
o,408.0475461286,885.5315407375,PBSP
e,440.3474187224,1552.3918830969,PBSP
u,354.8421116746,970.4958756149,PBSP
u,488.7903299473,1023.9275652691,PBSP
e,480.1484985985,1912.4311614263,PBSP
e,557.0086086138,1556.9527097912,PBSP
o,602.4887266369,940.020631288,PBSP
e,500.2777292363,1623.2928641733,PBSP
o,592.0645159845,1103.6773669019,PBSP
e,435.0590316636,1423.1613281348,PBSP
e,463.242647089,1549.4178008626,PBSP
u,463.9628702108,876.3211577489,PBSP
u,463.0226423288,911.3149667563,PBSP
o,453.5364063701,995.7446172688,PBSP
o,519.0552688683,1068.9819586503,PBSP
e,395.359460828,1699.806241973,PBSP
u,381.6739033918,1015.7632066509,PBSP
o,504.8378346879,1285.109572454,PBSP
o,572.8628473924,904.2490263019,PBSP
o,419.1354441904,1053.6127505182,PBSP
o,438.9558380669,970.4477180408,PBSP
e,459.9688124435,1810.8979457042,PBSP
o,470.6440297544,915.6611567194,PBSP
o,461.3595730393,1189.4764671528,PBSP
e,592.3655943323,1227.737245742,PBSP
o,507.4194987244,1153.4490475018,PBSP
e,501.9553662187,1480.5484486682,PBSP
e,640.7039195207,1918.9175344277,PBSP
o,554.8776427686,1006.3480460362,PBSP
o,480.1376945005,916.919769026,PBSP
o,578.6404752511,938.0527263217,PBSP
o,503.1190360703,1049.6505320054,PBSP
o,498.7788330364,939.710098913,PBSP
o,468.6053601909,926.6766839204,PBSP
o,627.7522517238,852.1024117561,PBSP
o,504.3421585999,816.5467332479,PBSP
o,513.3839712626,1192.4778396914,PBSP
o,489.8315980008,1241.8154115092,PBSP
u,473.9425497039,953.5807010865,PBSP
o,510.479555007,776.6209111448,PBSP
u,429.3499742574,1091.4655095383,PBSP
u,384.1099805487,993.1870560473,PBSP
a,536.5914033024,1505.7572159767,PBSP
i,328.2975819611,1683.1983300718,PBSP
i,392.6177514972,1894.0976010943,PBSP
i,451.4139108245,1664.0889138812,PBSP
i,380.5544410778,1850.9324602668,PBSP
i,443.6401901695,1545.0552912039,PBSP
i,403.9135293299,1756.8802558236,PBSP
a,543.9942230129,1512.5985486434,PBSP
i,417.6596122063,1637.6740907734,PBSP
e,556.0063511647,1611.9511121053,PBSP
e,534.8221775,1596.5899350673,PBSP
a,712.1849814582,1295.93128869,PBSP
a,636.6296627901,1438.3617330206,PBSP
u,393.9716418814,1036.0123893877,PBSP
o,586.2917344051,979.4562446544,PBSP
u,427.2201763895,1108.3005069347,PBSP
o,615.5910581345,996.1101918488,PBSP
a,578.6692952292,1362.6180706642,PBSP
i,424.2763097031,1706.3376739235,PBSP
i,424.5351505994,1894.0388717841,PBSP
e,619.2124145314,1480.3084610493,PBSP
a,635.9199915632,1487.9775632731,PBSP
i,348.0266666596,1535.1974580548,PBSP
i,426.3543614331,1652.405722265,PBSP
a,678.9257042648,1268.0036085103,PBSP
a,557.3449231649,1477.5805568112,PBSP
i,357.2278603609,1612.0733026835,PBSP
i,427.8068883807,1872.2655482211,PBSP
e,563.247020949,1716.8391474498,PBSP
e,494.5863625045,1624.8763651079,PBSP
e,614.0658593045,1505.2488045688,PBSP
e,437.3903726123,1585.3743736529,PBSP
e,612.2303934505,1456.3623323292,PBSP
e,534.1043089153,1397.0403699336,PBSP
i,423.0548540473,1774.1619868495,PBSP
e,548.4559965172,1529.5649030949,PBSP
e,593.7330056998,1591.6157164593,PBSP
u,420.0788404102,892.9765325892,PBSP
e,507.2138432969,1512.269273249,PBSP
a,547.8681064309,1079.4951662871,PBSP
i,420.5812460336,1884.7048581479,PBSP
e,493.8636964701,1550.1800292178,PBSP
a,641.8002357235,1157.663645372,PBSP
i,342.9824862322,1928.4293880326,PBSP
o,577.6894811825,1050.6249017402,PBSP
e,502.3493199303,1393.1756277572,PBSP
a,763.5052362544,1122.3598460365,PBSP
a,587.1046284977,1091.5900831452,PBSP
u,428.8618406583,1050.4820750515,PBSP
a,547.2984640441,1379.6847854728,PBSP
e,580.2274071046,1565.1665595442,PBSP
a,500.9259450884,1639.8975373832,PBSP
e,456.7023870039,1577.6172054828,PBSP
a,473.2820049572,1404.9842410753,PBSP
o,502.5650390306,1004.3293363468,PBSP
e,549.3819572922,1573.8473249283,PBSP
a,568.8238874708,1370.4778029839,PBSP
e,393.8740264764,1792.7261543749,PBSP
u,500.0476163968,899.3234154779,PBSP
a,492.8123565128,1090.2785974456,PBSP
a,549.530450713,1326.7033887296,PBSP
i,344.1140324493,1783.2630875471,PBSP
i,438.4343108104,1713.927179758,PBSP
i,281.0189929446,1825.2047288909,PBSP
a,569.1868334324,1514.9092617224,PBSP
a,643.2088124886,1244.349465929,PBSP
e,522.3443349525,1373.2421443601,PBSP
e,576.2845255695,1462.9643747744,PBSP
e,571.142920226,1606.3472688856,PBSP
e,565.040235674,1482.6334704715,PBSP
e,456.0595875499,1354.4116605871,PBSP
i,311.2364841474,1777.2729196489,PBSP
u,419.8863120553,1017.4201752392,PBSP
o,517.9926368092,956.4215547427,PBSP
o,630.1015753885,1149.8881721329,PBSP
o,529.0732720808,1129.8334262055,PBSP
e,545.3107069801,1450.5978010943,PBSP
o,586.1107885468,1168.3458363067,PBSP
o,492.8148281733,1156.0237345466,PBSP
e,538.597471571,1405.7463525464,PBSP
e,570.2139688159,1399.2223589173,PBSP
a,558.608818011,1271.9049614175,PBSP
u,464.9971878777,1135.16679272,PBSP
a,584.701068063,1246.0550705876,PBSP
a,698.7553289426,1351.0249601716,PBSP
a,692.683342372,1227.1422540881,PBSP
a,647.9811612277,1183.5265783373,PBSP
i,306.1227005402,1862.2159272627,PBSP
a,558.3382793848,1287.7841394732,PBSP
i,373.894657192,1519.9089629685,PBSP
e,582.0272765706,1548.0340830395,PBSP
o,557.4683735663,935.1961207004,PBSP
a,644.4459724597,1211.3534180896,PBSP
a,643.7537304162,1111.2053496252,PBSP
a,618.6002655823,1299.9844008209,PBSP
i,368.342616685,1682.8476693309,PBSP
e,543.1167986219,1392.9815835374,PBSP
o,566.5981935263,1091.5328303346,PBSP
e,392.4293246381,1503.0324103234,PBSP
o,516.4795013449,1316.5409920455,PBSP
i,412.9642425824,1587.6353180842,PBSP
i,450.9886382947,1702.4049224433,PBSP
o,543.1777271273,1072.7423053509,PBSP
u,417.1697123587,1194.3079235606,PBSP
i,329.8832918475,1936.2926060274,PBSP
i,373.1656090257,1932.5841546125,PBSP
i,453.1495836077,1629.2039461187,PBSP
o,486.5442387149,1110.9922409161,PBSP
u,392.0216808649,1098.0676464346,PBSP
i,378.5788144287,1894.5669908922,PBSP
i,365.9639544197,1902.7731830494,PBSP
u,445.0114118884,1135.4014202804,PBSP
o,596.4875077169,1327.8391360044,PBSP
e,533.6956475782,1698.6931676759,PBSP
e,573.8239658249,1543.7672309366,PBSP
e,707.3146640561,1504.7323603315,PBSP
e,574.0180850517,1480.4399713446,PBSP
e,544.9727127623,1603.0026097341,PBSP
u,448.8332021849,1202.7775764645,PBSP
e,517.7294814717,1475.1294456832,PBSP
e,439.9473030277,1550.439995145,PBSP
e,545.0363379329,1923.4211687136,PBSP
u,456.2275612673,884.3067415524,PBSP
e,548.4521582971,1619.4427363352,PBSP
e,572.34274357260006,1650.280963836,PBSP
e,654.9095617504,1646.2542136903,PBSP
e,630.9529267353,1673.5405887983,PBSP
e,633.2235128749,1486.8550145748,PBSP
e,626.5294283134,1594.9659180164,PBSP
e,648.8188115528,1484.9196307977,PBSP
e,709.7260952113,1623.6759572149,PBSP
a,717.8833748154,1353.683346057,PBSP
a,535.3847438252,1261.0425759176,PBSP
e,535.1386798505,1548.5591441997,PBSP
a,661.1144270595,1337.4897027307,PBSP
a,588.0082430671,1413.878999067,PBSP
a,695.6789195826,1411.0333944876,PBSP
i,361.8800156012,1839.6539055422,PBSP
a,638.0910713556,1318.5578644149,PBSP
a,577.7103534597,1386.9026132767,PBSP
i,354.4262100161,1724.0116870373,PBSP
o,615.4100315867,1184.1987396171,PBSP
o,604.8363154103,1219.4362006778,PBSP
e,492.9872813468,1725.7214646535,PBSP
o,458.6322163994,1218.4889268702,PBSP
u,421.8062159412,1248.9734954043,PBSP
a,571.4586822434,1298.7000531289,PBSP
a,619.822385184,1266.4671625537,PBSP
a,533.6709798475,1311.019751453,PBSP
a,562.6573943686,1382.1627829916,PBSP
e,485.3595825326,1636.0853158772,PBSP
a,616.514333389,1429.7914604994,PBSP
a,663.7770189395,1466.9948635156,PBSP
e,509.9761161725,1647.8945420685,PBSP
a,621.2486615271,1573.8356032193,PBSP
a,533.202627422,1249.0369762105,PBSP
a,677.1693106839,1330.8287651781,PBSP
e,547.7539424675,1596.2713899958,PBSP
a,612.1844093349,1578.6973816861,PBSP
a,582.2699311598,1489.7985036608,PBSP
a,593.2901898019,1463.0359245881,PBSP
i,417.367907011,1673.5424904513,PBSP
a,545.3468311581,1385.9094399486,PBSP
o,523.7382317563,1161.3058444936,PBSP
i,459.5019962869,1718.2545053302,PBSP
i,512.5374316604,1868.4639892111,PBSP
a,595.1246718359,1253.958098312,PBSP
i,443.4213332022,1561.1915586841,PBSP
i,407.2961296629,1494.8964628422,PBSP
i,419.4516225334,1815.9949965169,PBSP
i,372.3811840273,1978.33386733,PBSP
i,383.6669292378,2136.5961518579,PBSP
i,342.6004941291,1976.5422701023,PBSP
o,529.6743724113,959.6754375227,PBSP
e,471.23627668,1769.2883760006,PBSP
o,551.0878019037,935.2410591375,PBSP
i,392.9423645587,1970.8010379719,PBSP
u,450.596444595,1225.1735042993,PBSP
e,592.7473331443,1581.2919866223,PBSP
a,626.12541843020006,1329.3941701059,PBSP
i,331.2328637045,1952.9503191624,PBSP
a,620.3117588146,1353.9461846218,PBSP
e,466.0922176206,1683.5084825368,PBSP
a,596.8083987394,1301.6117347019,PBSP
i,398.1061144509,1708.0710037692,PBSP
o,540.2670170319,1175.7143180593,PBSP
a,565.0028658532,1168.3696407261,PBSP
a,625.9207859351,1315.7747086681,PBSP
a,678.1290677959,1185.6038232889,PBSP
o,605.0046832652,1124.8662813714,PBSP
a,579.7561419364,1272.4755082838,PBSP
o,583.4036573952,1083.1380875884,PBSP
a,611.7840034351,1484.4591138773999,PBSP
i,458.3683837437,1606.191321465,PBSP
i,399.3063391988,1535.2219815039,PBSP
a,628.3740426461,1337.2586744468,PBSP
u,382.6104076707,1166.0667874126,PBSP
e,506.3560649813,1593.6622985198,PBSP
e,427.4137329365,1897.8470957606,PBSP
o,547.889786995,1175.2248474307,PBSP
i,368.06846644030003,2029.0143593565,PBSP
i,330.5924079043,1870.5603344936,PBSP
e,545.9959757058,1541.266576392,PBSP
o,568.8142062181,1122.9220208737,PBSP
i,388.1174686693,2000.3663933897,PBSP
e,465.5955279474,1630.8456042637,PBSP
o,719.2545924652,936.1548796289,PBSP
e,447.6344143211,1657.2422572387,PBSP
e,495.8994020963,1675.7436794966,PBSP
o,584.2031830585,1228.7510362523,PBSP
e,527.0187125531,1615.8446822854,PBSP
e,534.4964790652,1580.1424363445,PBSP
o,525.0309790911,1313.0568621826,PBSP
i,399.7837745871,1809.6631394021,PBSP
u,551.4775885304,1115.8831416866,PBSP
i,370.5854799822,1860.00205957,PBSP
e,433.1284384372,1903.3688943719,PBSP
u,479.5850750238,1261.6061971734,PBSP
u,438.0019825852,968.226308408,PBSP
o,568.8761119814,1006.5687875373,PBSP
e,454.3499469873,1655.6169091339,PBSP
u,436.8293621244,1174.5769366738,PBSP
e,470.6884991027,1727.5765018274,PBSP
i,334.6407905752,2005.7660426703,PBSP
i,436.7050220245,2166.7009536784,PBSP
i,446.6312507586,1986.430882229,PBSP
u,433.1625183649,1185.6919288802,PBSP
o,569.1491437484,1210.7324583701,PBSP
o,588.9874143456,1082.4311254475,PBSP
e,481.627184529,1730.6416134806,PBSP
e,596.6198700646,1738.2450469007,PBSP
i,353.8441070138,1818.6894425558,PBSP
i,354.7373333012,1982.7122187391,PBSP
e,603.2481626551,1549.1622453069,PBSP
e,650.2342328769,1633.3584491692,PBSP
e,501.4381125688,1565.5539954419,PBSP
e,441.3512593777,1712.9387648978,PBSP
e,527.6289236738,1636.9173295104,PBSP
o,617.6861037097,1079.0311134894,PBSP
i,393.4686764017,1631.4889487343,PBSP
e,519.8864145329,1783.1840394172,PBSP
o,594.6418714716,1090.6348509631,PBSP
o,445.2668718268,1234.3932389952,PBSP
e,412.2260606713,1728.6378212134,PBSP
i,369.6405715596,1779.2081829301,PBSP
o,616.7411264788,1224.6622801313,PBSP
i,339.7519761032,1963.9473751638,PBSP
e,465.8819033181,1729.0248875894,PBSP
e,484.6028645381,1632.6856594403,PBSP
o,475.3165778135,1257.8481906506,PBSP
e,612.654576743,1709.9891567498,PBSP
e,527.9753644059,1709.1772449951,PBSP
e,525.1789359363,1575.2622983243,PBSP
e,501.3356310133,1610.0386362041,PBSP
o,549.6739407079,1082.6599059673,PBSP
e,506.4465382041,1662.1586326871,PBSP
o,491.4564947219,1190.9477032527,PBSP
e,488.8295873304,1570.7280111444,PBSP
e,460.232000362,1769.0338641739,PBSP
e,478.8677517503,1769.5611581312,PBSP
o,602.9159791913,1216.9150570217,PBSP
e,521.5825878055,1648.6263707678,PBSP
o,636.5463847202,1271.8098757314,PBSP
e,531.6246159873,1597.1214845805,PBSP
e,416.9694141996,1586.2480181527,PBSP
o,629.6934249211,1212.0150346858,PBSP
o,649.1971524427,1195.5553721912,PBSP
u,509.053645914,1238.4641421358,PBSP
u,469.0514486737,998.5165140484,PBSP
e,456.286954376,1619.1220130311,PBSP
e,464.3358152212,1656.9123107178,PBSP
e,582.1735579858,1701.4604330727,PBSP
e,564.1386171812,1956.5548132094,PBSP
o,656.3639891321,1164.1083952556,PBSP
u,402.7212992848,1130.7377280311,PBSP
u,449.6612176013,1076.5925367758,PBSP
e,513.39989892,1630.6756593022,PBSP
u,363.5542383078,1254.6979040994,PBSP
e,544.8630159669,1628.7838016729,PBSP
o,612.9699526657,1315.2838284635,PBSP
u,416.2075844632,1228.0196274426,PBSP
o,616.8774202864,874.7831029166,PBSP
e,462.3967934396,1685.0577299679,PBSP
e,502.4450399034,1579.9022180032,PBSP
e,505.4439874672,1655.1746489848,PBSP
o,444.9659564214,1303.4915512316,PBSP
o,527.8696317936,1443.5381350071,PBSP
o,647.2148025751,1238.8302570003,PBSP
o,518.9945318224,1175.9664261164,PBSP
o,435.6540172313,1103.6488120024,PBSP
u,371.5334670349,1255.8356768363,PBSP
o,513.7321852965,1053.9355212874,PBSP
o,620.8732275218,1036.84564169,PBSP
o,626.1745787499,1383.9246351041,PBSP
o,443.2465087716,1073.9254218795,PBSP
o,643.2938526694,1245.7732955298,PBSP
u,411.983298038,1232.4245347145,PBSP
o,526.5994613487,1317.3424427785,PBSP
o,569.4720384299,1018.0688335815,PBSP
o,688.1461502009,1253.5767439426,PBSP
o,528.5779447112,1056.4540250082,PBSP
u,489.209359678,1153.6853981564,PBSP
o,539.4900050606,1320.7410559238,PBSP
o,555.9496742494,1318.7877518279,PBSP
o,536.4079905017,1171.4715709878,PBSP
u,434.1085183781,1009.4261621366,PBSP
o,571.8027088404,1259.1234283305,PBSP
u,482.1566868555,1099.0400684631,PBSP
u,514.475276512,1240.4912300698,PBSP
a,907.7450474529,1500.2128792527,SP2010
e,640.6070407365,1927.7871835624,SP2010
o,580.128367112,1122.9497161208,SP2010
o,691.7246846419,1378.0349433893,SP2010
i,471.3108807722,2330.7990798182,SP2010
u,433.3995521579,1069.3807693251,SP2010
o,498.1695064416,1017.1176949458,SP2010
e,459.7248838815,2054.4453662748,SP2010
a,662.4354894352,1295.5658108733,SP2010
e,587.6967775527,1881.3043901254,SP2010
i,204.0344212584,2371.3548767062,SP2010
i,358.251928021,2424.217130763,SP2010
a,681.5655565947,1174.3440400447,SP2010
e,506.9332707154,1528.4892676562,SP2010
a,836.001906801,1371.5728347608,SP2010
i,375.8664453309,2344.1205156376,SP2010
u,368.2920772231,1175.6378833629,SP2010
i,341.6683969854,2258.8852698971,SP2010
a,822.9977826517,1338.5510837881,SP2010
a,832.0912249225,1382.0286197542,SP2010
o,663.7044884713,1091.6866790682,SP2010
o,613.9602981972,1177.9202084484,SP2010
a,818.0053585407,1449.5834596914,SP2010
a,852.9682614158,1532.9067911386,SP2010
a,837.1015315099,1380.9331750014,SP2010
i,342.6190942732,2288.0411213503,SP2010
a,751.822299187,1238.7630874948,SP2010
a,691.3925975175,1240.0001623839,SP2010
i,300.3817980164,1623.5089907896,SP2010
u,586.0603686386,1148.2372165938,SP2010
a,669.6345280467,1378.3089979133,SP2010
i,261.6106937426,1862.3151596959,SP2010
o,529.8747972356,1073.8322515383,SP2010
a,849.7747750165,1492.7455674011,SP2010
o,438.8647650587,1120.4389113216,SP2010
e,677.7600588649,1847.59987091,SP2010
u,527.6153580711,1067.9093020341,SP2010
i,267.3462145375,2340.3756300024,SP2010
a,771.9523255584,1334.6773152145,SP2010
e,402.7016499241,2227.2526888303,SP2010
a,662.9280023195,1238.9893604878,SP2010
e,731.1582972277,1814.1596374269,SP2010
u,280.0649099715,730.2888851218,SP2010
i,314.7421966755,2457.6173318683,SP2010
e,528.3936826701,2044.1533272725,SP2010
u,409.2459859408,767.6943498474,SP2010
a,788.6690207744,1317.0493030207,SP2010
o,722.9499774252,1252.8926097613,SP2010
e,511.9476467677,1581.7251248425,SP2010
e,509.4444452853,1625.150244454,SP2010
u,434.5324500654,891.0186646806,SP2010
a,599.0196724437,1251.9136043445,SP2010
a,783.641074537,1191.9856933898,SP2010
o,692.1558517687,1268.2038294725,SP2010
i,340.6316118727,1888.3795685636,SP2010
a,638.5481688662,1210.3658422896,SP2010
o,668.0283322091,1033.4169920135,SP2010
e,482.613989012,2210.4179096876,SP2010
a,799.3639129668,1489.3982630325,SP2010
i,388.2594510012,2120.4562241822,SP2010
a,862.73706161330006,1351.1427999341,SP2010
e,460.7168154762,1943.1194506525,SP2010
a,899.5751597827,1617.8989892653,SP2010
i,318.7049800677,1740.2303174315,SP2010
i,267.4429489336,1633.6677147739,SP2010
e,526.4974260496,1791.2758447971,SP2010
a,760.3735451235,1514.9407057705,SP2010
e,729.6545094541,2061.3972398964,SP2010
e,579.718601863,1934.7691282408,SP2010
e,582.4645552387,2074.0062980865,SP2010
i,321.9758325514,2165.8882722071,SP2010
e,704.2887803077,2146.3093262135,SP2010
a,819.1464504954,1473.7804103508,SP2010
o,670.1400170168,1256.3222715195,SP2010
e,495.5639878229,1873.3312485358,SP2010
e,432.7875301788,1893.0060601921,SP2010
a,823.9163689247,1328.6833781403,SP2010
a,842.5396407671,1495.026415379,SP2010
e,530.1793973706,2037.6780934353,SP2010
a,901.6902114205,1347.6405045353,SP2010
e,525.7323996652,2331.6870158621,SP2010
a,819.0326922749,1630.6220326198,SP2010
o,668.7094102911,1018.0294903787,SP2010
u,504.3785092552,978.6732028898,SP2010
u,389.2494110474,794.8915842566,SP2010
e,625.0345090198,1917.2457413882,SP2010
a,696.4225355352,1604.1014716555,SP2010
e,478.6992901819,2127.2454553137,SP2010
i,412.5928228455,1919.9749053832,SP2010
o,669.0378429978,1308.4102421547,SP2010
i,464.5975982812,1862.8428122762,SP2010
i,435.7525042639,1892.0675466534,SP2010
i,293.8252918498,1892.5905615942,SP2010
i,440.8096915531,2316.2752003979,SP2010
o,588.4104156235,1092.0187499134,SP2010
i,427.8337922332,2008.8004011815,SP2010
o,537.8172563727,1211.6313539272,SP2010
i,336.399224607,1962.584301316,SP2010
u,418.6204988629,896.9321857476,SP2010
e,576.0531849189,1635.9320764494,SP2010
e,414.364000415,2072.3244551288,SP2010
i,411.8452844796,2277.5565901529,SP2010
e,499.6718985586,1758.4304942052,SP2010
e,505.5266454647,1604.5259419477,SP2010
e,634.6768104083,2034.6917644168,SP2010
u,475.9044893268,909.5510954141,SP2010
i,173.4276817628,1703.1150358268,SP2010
i,467.1781653446,2076.9759931487,SP2010
e,535.639321707,1756.9412905112,SP2010
e,481.9966937863,1646.3539540358,SP2010
