VOGAL,F1,F2,AMOSTRA
e,694.6112137152,1930.03025709,PBSP
o,900.6926139608,1277.3107964547,PBSP
e,571.5463027572,2117.54457071,PBSP
o,726.1646897555,1244.752678046,PBSP
a,1029.6635570042,1586.9564581092,PBSP
i,456.3959496874,2507.8721285977,PBSP
a,1027.4478757891,1420.5842933106,PBSP
o,847.6901163227,1236.7220738595,PBSP
a,966.2902639093,1500.4446572197,PBSP
i,379.9313909411,2203.3063293473,PBSP
a,1095.4180536055,1392.7067606541,PBSP
a,866.9857401578,1693.3098360744,PBSP
i,457.8057896506,2367.605954998,PBSP
e,1064.7067826024,2460.0350939878,PBSP
a,633.188497952,1616.0140832353,PBSP
a,748.4644420081,1687.7528810385,PBSP
a,781.0851209343,1451.8216605261,PBSP
o,762.4897367636,1218.0405281665,PBSP
o,771.719878296,1155.3877242655,PBSP
a,877.8746094456,1419.0926208785,PBSP
u,468.0493909421,1365.9170586545,PBSP
e,766.357914052,2064.9000074619,PBSP
a,880.8206901894,1442.3557597778,PBSP
a,736.0633656851,1711.3141794419,PBSP
u,407.6329617188,1142.4813181477,PBSP
u,624.358534533,790.0233559214,PBSP
u,361.8214160656,1314.9455768723,PBSP
e,573.0125811763,1975.3394548529,PBSP
i,453.9313149809,2232.3213892133,PBSP
i,254.1343871807,1743.4639009324,PBSP
a,824.2167160027,1502.509626624,PBSP
a,809.2855628182,1422.6358734038,PBSP
o,741.5584569786,1284.806974104,PBSP
a,557.7111079111,1252.0590338226,PBSP
e,634.7125766063,1923.3498767716,PBSP
a,821.3343997618,1317.7587099493,PBSP
a,824.5148582117,1475.4239130643,PBSP
a,751.1118841354,1705.722616423,PBSP
o,646.085552379,1254.7561686981,PBSP
a,776.4771596792,1556.95394818,PBSP
i,305.2421865169,1782.0547090564,PBSP
e,641.5047826625,1751.0691742579,PBSP
a,897.3815758797,1742.9510897889,PBSP
a,969.2181938764,1409.7751288246,PBSP
a,540.9305448242,1825.8320009237,PBSP
o,799.4888028356,1215.1786017333,PBSP
a,549.5739430329,1576.5010053886,PBSP
u,456.0418013884,1035.7821626094,PBSP
u,455.3748885935,1295.7443710069,PBSP
o,528.8914967176,1255.256919611,PBSP
a,887.4026578271,1603.9344294933,PBSP
u,509.195758184,1116.7838909543,PBSP
a,994.4088630524,1449.11447107,PBSP
e,582.4055521442,1689.3879022938,PBSP
i,447.5953962119,2431.6395231175,PBSP
a,937.7885462367,1361.439769643,PBSP
e,722.5099653298,1942.3516236923,PBSP
u,400.54122442,1173.1998022353,PBSP
a,1047.0146729769,1409.9900224067,PBSP
e,837.0104724303,2161.7378743344,PBSP
a,937.113988633,1486.588424303,PBSP
a,880.9162140326,1820.2011154145,PBSP
a,912.9377639655,1515.8085845684,PBSP
a,849.7142959829,1764.9751948425,PBSP
e,577.6245478602,1858.3904012994,PBSP
i,489.7178178525,1968.7736291967,PBSP
e,700.3631682385,1709.0838982926,PBSP
e,601.2896885889,1971.921750314,PBSP
o,771.4763223572,1233.3127792515,PBSP
o,718.0897274663,1094.2682894524,PBSP
e,776.6882714707,1819.6192193544,PBSP
i,459.6811407386,2079.7485711172,PBSP
e,658.3564262175,1791.2899692834,PBSP
i,731.6210137357,2240.0287255864,PBSP
i,754.3294003555,1697.677307031,PBSP
